id,name,address,area,state,direction_url,scraped_at,opening_time,closing_time
outlet_71,"ZUS Coffee – Cyberview 23A, Cyberjaya","Cyberview 23A, Persiaran APEC Cyber 6, 63000 Cyberjaya Selangor",Cyberjaya,Selangor,https://maps.app.goo.gl/65eKzyJ3AYr7Ufc26,2025-07-07 01:46:59,08:30,21:00
outlet_72,ZUS Coffee – Monash University Malaysia,"3124C, Lepak Place, Monash University Malaysia, Jalan Lagoon Selatan, 47500 Bandar Sunway, Selangor Darul Ehsan",Bandar Sunway,Selangor,https://maps.app.goo.gl/yiZH7dYYP8vJFZsi7,2025-07-07 01:46:59,10:00,21:30
outlet_73,ZUS Coffee – Semua House,"GF.04, Ground Floor, Semua House, Jalan Bunus 6, City Centre, 50100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/cyFk3f3wuVoRiVCi8,2025-07-07 01:47:15,06:00,18:00
outlet_74,ZUS Coffee – Southville City,"A­G­09 (Ground Floor), Savanna Lifestyle Retail Jalan BBLS 2, Bandar Baru Lembah Selatan, 43800 Dengkil, Selangor",Dengkil,Selangor,https://maps.app.goo.gl/D4ZHpH55QcfbryDy5,2025-07-07 01:47:15,06:00,21:30
outlet_75,ZUS Coffee – Sekinchan,"No.15 (Ground Floor), Jalan Peria, Pekan Sekinchan, 45400 Sekinchan, Selangor",Sekinchan,Selangor,https://maps.app.goo.gl/wFX1izTnAqp11QqQ7,2025-07-07 01:47:15,06:00,22:30
outlet_76,ZUS Coffee – Kompleks PKNS Shah Alam,"Lot G-6 (Ground Floor), Kompleks PKNS Shah Alam, Persiaran Tasik, Seksyen 14, 40000 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/11uRprMV9ixudpHT8,2025-07-07 01:47:15,08:00,21:00
outlet_77,ZUS Coffee – Shah Alam Seksyen 18,"15G (Ground Floor), Jalan Pinang B 18/B, Seksyen 18, 40200 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/tV4tVt5hoCqVVS7d6,2025-07-07 01:47:15,07:00,22:30
outlet_78,ZUS Coffee – SAMA Square,"G-02 & 02(E), Ground Floor, Same Square, Jalan 1/23c, Kampung Baru Air Panas, 53200 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur.",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/EzptbL3cArET9Nw1A,2025-07-07 01:47:15,07:00,22:00
outlet_79,ZUS Coffee – GM Klang,"A-G-13, Ground Floor, Wholesale City Gm Klang, Jalan Kasuarina 1, Bandar Botanik, 41200 Klang, Selangor",Klang,Selangor,https://maps.app.goo.gl/KpWWdYpXUwHVqHk9A,2025-07-07 01:47:15,09:00,23:00
outlet_80,"ZUS Coffee – Prima Saujana, Kajang","No.20 (GF), Jalan Prima Saujana 1/1A, Prima Saujana 43000 Kajang Selangor.",Kajang,Selangor,https://maps.app.goo.gl/eEyMwE9Vq4HixWfL6,2025-07-07 01:47:15,10:00,22:30
outlet_81,ZUS Coffee – AEON Mall Bukit Tinggi,"Lot F26, AEON Bukit Tinggi Shopping Centre, 1, Persiaran Batu Nilam 1, KS6, 41200, Selangor",Klang,Selangor,https://maps.app.goo.gl/ciHTbpy7nFNH1xbQA,2025-07-07 01:47:15,08:30,21:30
outlet_82,ZUS Coffee – Shah Alam Seksyen 20,"No 18, Jalan Singa D 20/D, Seksyen 20, 40300 Shah Alam, Selangor",Shah Alam,Selangor,https://maps.app.goo.gl/NJWvjTigi6rz1STG7,2025-07-07 01:47:15,06:30,22:30
outlet_83,ZUS Coffee – You City III Cheras,"Lot no G-AP-8, Jalan Persiaran You City,Taman Suntex, 43200 Cheras, Selangor",Cheras,Selangor,https://maps.app.goo.gl/MKWRhERopFZX9iwV8,2025-07-07 01:47:15,08:00,23:00
outlet_84,ZUS Coffee – Menara UOA Bangsar,"Lot LGF-8, Lower Ground Floor, 5, Jalan Bangsar Utama 1, Bangsar, 59000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur",Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur,https://maps.app.goo.gl/9GFMf9ozWFEwVB3Q6,2025-07-07 01:47:15,09:00,19:00
outlet_85,"ZUS Coffee – TTDI Jaya, Shah Alam","No.33 (Ground Floor), Jalan Opera F U2/F, Taman TTDI Jaya, Seksyen U2, 40150 Shah Alam.",Shah Alam,Selangor,https://maps.app.goo.gl/y6JS8BiUbaStYPDPA,2025-07-07 01:47:31,06:30,22:30
outlet_86,ZUS Coffee – Citta Mall,"G-48 7 G-48A, Ground Floor, Citta Mall, 1, Jalan PJU 1a/48, Ara Damansara, 47301 Petaling Jaya, Selangor",Petaling Jaya,Selangor,https://maps.app.goo.gl/AGW7mvcrQhFBKF2S6,2025-07-07 01:47:31,06:00,19:00
outlet_87,"ZUS Coffee – Cubic Botanical, Pantai Dalam","No. R2-1 (Lower Ground Floor), Residensi Rimba Pantai Dalam, No. 6, Jalan Pantai Sentral 3, Pantai Dalam, 59200 Kuala Lumpur",Kuala Lumpur,Kuala Lumpur,https://maps.app.goo.gl/2CFVnP1RUU76rsmZ8,2025-07-07 01:47:31,06:30,22:00
outlet_88,ZUS Coffee – TTDI Grove Kajang,"No. 26, JALAN TTDI GROVE 1/1, 43000 KAJANG, SELANGOR",Kajang,Selangor,https://maps.app.goo.gl/9RQRxmiGig3X6BXF9,2025-07-07 01:47:31,06:00,22:00
outlet_89,ZUS Coffee – Jenjarom,"No. 37 (Ground Floor), Jalan 2/1, Taman Seri Jaromas, 42600 Jenjarom",Jenjarom,,https://maps.app.goo.gl/jij7okFL6ZQ6oDj38,2025-07-07 01:47:31,09:00,23:00
